Tipo de máquina;CPUs virtuais;Memória;Iowa;Los Angeles;Oregon;Virgínia do Norte;Carolina do Sul;Montreal;São Paulo;Bélgica;Finlândia;Frankfurt
n1-standard-1;1;3.75GB;$0.0475;$0.0571;$0.0475;$0.0535;$0.0475;$0.0523;$0.0754;$0.0523;$0.0523;$0.0612
n1-standard-2;2;7.5GB;$0.0950;$0.1142;$0.0950;$0.1070;$0.0950;$0.1046;$0.1508;$0.1046;$0.1046;$0.1224
n1-standard-4;4;15GB;$0.1900;$0.2284;$0.1900;$0.2140;$0.1900;$0.2092;$0.3017;$0.2092;$0.2092;$0.2448
n1-standard-8;8;30GB;$0.3800;$0.4568;$0.3800;$0.4280;$0.3800;$0.4184;$0.6034;$0.4184;$0.4184;$0.4896
n1-standard-16;16;60GB;$0.7600;$0.9136;$0.7600;$0.8560;$0.7600;$0.8368;$1.2068;$0.8368;$0.8368;$0.9792
n1-standard-32;32;120GB;$1.5200;$1.8272;$1.5200;$1.7120;$1.5200;$1.6736;$2.4136;$1.6736;$1.6736;$1.9584
n1-standard-64;64;240GB;$3.0400;$3.6544;$3.0400;$3.4240;$3.0400;$3.3472;$4.8271;$3.3472;$3.3472;$3.9168
"n1-standard-96
Somente plataforma Skylake";96;360GB;$4.5600;Not available in this region;$4.5600;$5.1360;$4.5600;$5.0208;Not available in this region;$5.0280;$5.0208;$5.8752
f1-micro;1;0.60GB;$0.0076;$0.0091;$0.0076;$0.0086;$0.0076;$0.0084;$0.0118;$0.0086;$0.0084;$0.0096
g1-small;1;1.70GB;$0.0257;$0.0308;$0.0257;$0.0289;$0.0257;$0.0283;$0.0400;$0.0285;$0.0283;$0.0324
n1-highmem-2;Instâncias em sub-redes diferentes podem se comunicar entre si usando os IPs internos, desde que pertençam à mesma rede.;13 GB;$0.1184;$0.1421;$0.1184;$0.1348;$0.1184;$0.1303;$0.1879;$0.1302;$0.1303;$0.1523
n1-highmem-4;4;26 GB;$0.2368;$0.2842;$0.2368;$0.2696;$0.2368;$0.2606;$0.3757;$0.2604;$0.2606;$0.3046
n1-highmem-8;8;52 GB;$0.4736;$0.5684;$0.4736;$0.5393;$0.4736;$0.5212;$0.7514;$0.5208;$0.5212;$0.6092
n1-highmem-16;16;104 GB;$0.9472;$1.1368;$0.9472;$1.0786;$0.9472;$1.0424;$1.5029;$1.0416;$1.0424;$1.2184
n1-highmem-32;32;208 GB;$1.8944;$2.2736;$1.8944;$2.1571;$1.8944;$2.0848;$3.0057;$2.0832;$2.0848;$2.4368
n1-highmem-64;64;416 GB;$3.7888;$4.5472;$3.7888;$4.3142;$3.7888;$4.1696;$6.0114;$4.1664;$4.1696;$4.8736
"n1-highmem-96
Somente plataforma Skylake";96;624GB;$5.6832;$Not available in this region;$5.6832;$6.4716;$5.6832;Not available in this region;Not available in this region;$6.2496;$6.2544;$7.3104
n1-ultramem-40;40;938GB;$6.3039;$Not available in this region;$6.3039;Not available in this region;$6.3039;Not available in this region;Not available in this region;$6.9389;Not available in this region;Not available in this region
n1-ultramem-80;80;1922GB;$12.6078;$Not available in this region;$12.6078;Not available in this region;$12.6078;Not available in this region;Not available in this region;$13.8779;Not available in this region;Not available in this region
n1-megamem-96;96;1433.6GB;$10.6740;$Not available in this region;$10.6740;Not available in this region;Not available in this region;Not available in this region;Not available in this region;$11.7430;Not available in this region;Not available in this region
n1-ultramem-160;160;3844GB;$25.2156;$Not available in this region;$25.2156;Not available in this region;$25.2156;Not available in this region;Not available in this region;$27.7557;Not available in this region;Not available in this region
